Ангелов Олег Никитич	4082	2863	5478	454 573 195 365 384 230 1053 702 423 208 375 990 838 520 535 694 611 31 956 349 429 1028 827 989 576 963 670 1029 84 61 760 433 1020 956 101 658 851 317 776 123 34 596 261 1066 314 442 969 344 430 218
Васильева Наталья Петровна	7946	38153	5741	133 280 862 771 981 574 336 393 702 472 626 317 629 236 31 594 242 573 266 443 576 1005 442 463 666 848 35 562 3 150 923 823 961 737 634 818 546 471 877 660 995 589 799 177 831 259 806 991 590 393
Сможевский Яков Владимирович	5387	30475	6559	709 580 905 283 299 1041 773 160 469 736 428 1032 387 748 104 316 440 716 507 43 495 850 924 679 536 215 267 85 36 14 578 120 257 972 820 539 470 725 1046 295 651 236 507 476 286 1025 652 789 382 577
Аривошкин Алексей Ксенофонтович	2391	22483	8845	834 241 234 511 373 1025 50 1066 58 182 542 218 281 922 680 417 462 634 647 382 965 1056 630 715 374 203 318 717 379 575 974 999 855 96 60 932 927 629 426 989 307 368 767 392 1036 13 882 599 635 1015
Неделько Дмитрий Евгеньевич	5192	7846	6222	947 651 486 608 821 999 545 885 738 722 527 43 319 742 702 882 76 585 495 798 220 543 845 249 507 129 53 65 863 634 457 667 415 245 40 175 323 1028 216 113 948 820 1025 663 677 215 238 141 887 1026
Попов Илья Олегович	1072	7809	2306	352 536 226 2 102 710 834 345 414 73 206 380 916 791 901 950 421 980 721 169 8 486 9 734 558 318 896 843 287 50 598 15 264 590 862 476 54 478 1067 575 103 39 218 484 82 209 777 165 479 249
Никифоров Андрей Васильевич	288	31224	4275	232 842 863 512 290 146 468 602 735 197 1030 337 195 547 822 462 619 721 98 389 293 175 185 161 20 513 609 150 400 92 1038 103 560 750 561 170 386 878 769 634 764 878 623 154 810 283 331 446 303 188
Яковенко Екатерина Олеговна	1209	44036	2300	810 752 1012 219 956 277 313 990 706 461 258 466 1060 501 270 627 37 454 445 860 760 507 150 274 25 135 1044 172 692 257 396 812 712 515 584 807 190 965 63 412 48 45 736 493 114 1005 730 999 803 527
Орехов Евгений Федорович	5334	31370	9636	79 769 40 279 160 387 206 844 303 197 1039 373 621 128 518 507 173 107 153 366 487 664 221 852 103 749 896 380 212 642 262 834 359 511 900 872 472 931 544 200 1039 435 196 323 640 510 92 502 388 124
Прокопьева Наталья Сергеевна	3402	9609	8527	835 510 35 487 438 765 796 947 986 498 556 488 331 588 815 671 44 826 778 120 806 750 783 1039 117 544 890 835 659 1054 189 657 551 576 505 49 136 560 58 985 984 36 1005 690 174 391 549 970 82 359
Наумов Алексей Сергеевич	5488	48217	7252	356 596 298 1066 913 21 717 903 351 574 518 113 380 866 1033 285 543 993 696 152 956 388 410 240 451 639 495 808 382 727 882 681 155 7 907 486 611 693 809 713 125 928 385 894 280 638 562 549 978 537
Нечипоренко Анастасия Ивановна	2847	6490	14356	573 337 687 353 693 370 377 756 126 306 706 112 390 15 802 1044 201 859 221 393 818 872 910 965 460 886 706 425 351 457 585 398 544 917 1014 217 634 360 208 655 77 165 632 942 874 426 253 23 292 100
Блащук Ксения  Андреевна	6200	45364	13864	62 544 833 799 882 669 939 74 102 855 638 892 867 115 472 556 290 977 989 461 740 884 429 955 106 525 558 165 970 896 161 537 301 808 181 591 507 688 837 232 1044 420 795 169 963 1063 551 795 159 347
Зиновьев Андрей Олегович	2844	16295	3478	241 588 555 46 825 724 686 275 1057 200 393 800 427 569 302 492 843 279 761 108 84 776 466 118 315 148 70 487 733 766 337 600 215 436 530 267 827 458 838 877 414 378 294 120 513 457 32 938 754 163
Акимова Оксана Анатольевна	5579	37634	7116	931 418 354 401 663 476 108 845 743 753 860 665 291 549 38 371 548 68 737 732 469 555 218 721 997 278 1009 776 475 975 852 14 791 739 416 28 491 78 858 256 1040 881 5 297 918 1044 645 606 969 557
Золотухина Анна Витальевна	5221	17660	14015	1003 815 788 812 732 541 383 957 654 625 523 1055 250 291 836 305 546 60 895 572 948 765 293 456 187 255 382 100 962 272 304 598 963 430 542 65 627 17 868 922 280 315 457 1009 305 521 989 779 516 1032
Сухарев Сергей Александрович	4177	44286	10680	291 310 494 213 751 134 522 669 476 511 293 300 387 146 831 677 587 322 989 123 279 395 778 322 620 482 806 593 608 561 261 1000 947 808 822 195 686 644 57 1002 548 931 853 123 1019 257 24 98 601 754
Москвичёв Андрей Петрович	2328	23359	8365	338 925 1048 355 570 163 628 894 821 416 1040 709 404 141 987 895 709 347 102 501 334 196 469 639 582 503 877 68 706 860 1016 321 254 555 821 243 216 206 1060 738 157 266 49 402 230 1013 967 331 858 896
Мороков Александр Михайлович	2338	282	13438	83 1049 852 687 498 616 519 837 117 106 206 489 351 967 512 41 394 622 505 139 563 165 608 879 773 441 638 225 947 775 971 282 234 757 737 952 505 268 46 817 591 484 366 668 308 337 681 88 336 747
Осинская Ирина Владимировна	7406	25281	6331	1001 573 199 760 586 950 985 3 998 456 721 60 382 462 616 717 982 16 414 282 208 105 87 811 772 1012 6 132 210 426 1026 438 157 441 1055 316 354 872 173 1027 732 474 611 207 788 1025 1018 15 1003 324
Сысоева Светлана Александровна	7267	27078	9063	380 612 543 1009 951 422 451 899 925 989 657 166 930 646 392 413 659 149 303 457 883 511 437 1061 692 563 1027 565 249 419 52 149 820 696 51 493 311 725 519 988 330 93 422 790 118 922 588 401 630 938
Медведева, Ирина Яковлевна	1158	29851	3401	276 667 105 546 490 548 991 460 966 614 118 269 979 134 882 325 750 392 327 45 423 989 274 652 1065 1050 929 456 572 194 732 986 332 563 553 688 269 1027 257 263 988 231 1002 651 642 193 714 599 865 965
Сайфутдинов Ринат Хасанович	4490	1381	4167	1051 507 800 90 971 192 501 784 49 221 918 479 452 124 98 786 119 821 1046 503 849 142 605 182 1045 693 112 279 147 182 582 785 162 659 261 671 626 327 958 581 297 757 771 73 682 714 510 1037 606 457
Сазонова Ольга Николаевна	4757	19447	8634	233 90 602 707 773 329 903 996 141 182 460 483 633 828 588 924 149 550 254 342 782 508 535 81 192 538 13 634 59 541 616 659 557 94 779 473 49 200 1017 172 901 666 954 8 122 388 161 315 344 529
Шангурова Елена Дмитриевна	7510	34092	14091	813 854 946 1001 111 766 209 142 961 951 27 731 237 209 995 405 805 815 944 1033 877 624 138 59 515 59 408 706 2 64 49 548 760 579 609 956 314 73 113 315 887 385 949 1016 791 985 761 137 621 658
Филатов Александр Сергеевич	3262	30798	5445	206 999 331 501 677 171 409 129 460 991 427 303 574 512 908 506 194 8 218 885 719 181 723 90 557 1010 1038 1 316 520 1013 445 144 75 163 827 25 629 912 479 1066 249 754 170 607 368 693 56 602 124
Самонова Ирина Николаевна	4700	806	11159	772 798 913 788 280 568 413 300 1067 897 713 755 394 651 215 23 623 206 724 577 93 20 582 346 820 143 851 371 267 29 290 451 90 48 89 20 619 490 899 312 212 558 1063 255 839 336 745 19 953 446
Волкова Людмила Васильевна	5487	42759	11954	468 106 406 1000 878 293 486 400 573 199 319 24 884 15 1056 159 521 154 514 31 197 698 637 372 700 952 894 571 394 318 923 904 406 869 745 505 60 943 864 669 21 784 337 516 379 680 743 216 91 915
Романов, Александр Владимирович	1533	18696	11320	1040 861 819 549 72 940 881 998 103 273 855 866 17 826 764 134 385 579 644 1051 35 571 619 923 882 1045 1011 430 391 916 515 767 761 114 976 547 969 219 692 411 520 339 26 534 85 712 926 528 684 698
Обухова Ольга Юрьевна	473	7195	13419	306 403 425 1023 800 390 522 410 595 449 494 879 457 589 748 937 492 537 71 348 699 866 59 52 612 347 956 765 1018 1047 376 1027 743 660 266 873 815 1058 572 309 396 614 797 532 590 248 572 639 944 363
